LOD_level,camera_name,translate_x,translate_y,translate_z,rotate_x,rotate_y,rotate_z
0,front_custom1,0.0,90.0,300.0,0.0,0.0,0.0 
1,front_custom1,0.0,90.0,600.0,0.0,0.0,0.0 
2,front_custom1,0.0,90.0,900.0,0.0,0.0,0.0 
0,back_custom1,0.0,90.0,-300.0,0.0,180.0,0.0 
1,back_custom1,0.0,90.0,-600.0,0.0,180.0,0.0 
2,back_custom1,0.0,90.0,-900.0,0.0,180.0,0.0
0,top_custom1,0.0,390.0,0.0,-90.0,0.0,0.0
1,top_custom1,0.0,690.0,0.0,-90.0,0.0,0.0
2,top_custom1,0.0,990.0,0.0,-90.0,0.0,0.0
0,bottom_custom1,0.0,-210.0,0.0,90.0,0.0,0.0
1,bottom_custom1,0.0,-510.0,0.0,90.0,0.0,0.0
2,bottom_custom1,0.0,-810.0,0.0,90.0,0.0,0.0
0,right_custom1,300.0,90.0,0.0,0.0,90.0,0.0
1,right_custom1,600.0,90.0,0.0,0.0,90.0,0.0
2,right_custom1,900.0,90.0,0.0,0.0,90.0,0.0
0,left_custom1,-300.0,90.0,0.0,0.0,-90.0,0.0
1,left_custom1,-600.0,90.0,0.0,0.0,-90.0,0.0
2,left_custom1,-900.0,90.0,0.0,0.0,-90.0,0.0
